iter	Passed	Remaining
401	17153	25516
402	17194	25471
403	17235	25426
404	17278	25384
405	17320	25341
406	17367	25304
407	17406	25256
408	17444	25207
409	17483	25159
410	17527	25118
411	17573	25081
412	17615	25036
413	17656	24992
414	17698	24949
415	17738	24901
416	17782	24861
417	17826	24821
418	17864	24771
419	17905	24726
420	17947	24682
421	17998	24652
422	18045	24615
423	18084	24567
424	18127	24525
425	18166	24478
426	18206	24431
427	18253	24395
428	18291	24346
429	18330	24298
430	18370	24252
431	18417	24214
432	18462	24176
433	18501	24128
434	18541	24082
435	18583	24039
436	18625	23996
437	18670	23955
438	18711	23911
439	18752	23867
440	18790	23818
441	18828	23770
442	18889	23750
443	18933	23709
444	18974	23664
445	19026	23634
446	19072	23594
447	19115	23552
448	19155	23506
449	19197	23463
450	19237	23417
451	19274	23368
452	19327	23337
453	19370	23295
454	19412	23252
455	19452	23207
456	19493	23162
457	19534	23116
458	19581	23079
459	19624	23037
460	19662	22988
461	19701	22942
462	19745	22901
463	19792	22863
464	19831	22816
465	19870	22770
466	19909	22723
467	19947	22675
468	19992	22635
469	20078	22642
470	20114	22591
471	20155	22546
472	20198	22503
473	20238	22458
474	20280	22414
475	20324	22373
476	20361	22325
477	20403	22281
478	20444	22237
479	20486	22193
480	20529	22151
481	20571	22107
482	20618	22069
483	20659	22025
484	20698	21978
485	20736	21930
486	20778	21888
487	20824	21848
488	20865	21804
489	20902	21755
490	20937	21704
491	20977	21659
492	21023	21620
493	21066	21578
494	21118	21544
495	21155	21497
496	21196	21452
497	21235	21406
498	21285	21370
499	21328	21328
500	21369	21284
501	21412	21242
502	21455	21199
503	21501	21160
504	21536	21110
505	21578	21066
506	21619	21022
507	21658	20976
508	21705	20938
509	21743	20890
510	21785	20847
511	21828	20805
512	21869	20761
513	21915	20722
514	21954	20675
515	22000	20636
516	22041	20591
517	22082	20547
518	22132	20512
519	22177	20471
520	22217	20426
521	22259	20383
522	22303	20341
523	22349	20302
524	22390	20258
525	22430	20212
526	22455	20154
527	22500	20114
528	22541	20069
529	22585	20028
530	22629	19986
531	22667	19940
532	22706	19894
533	22746	19850
534	22792	19810
535	22833	19766
536	22876	19724
537	22918	19680
538	22958	19636
539	23006	19597
540	23049	19555
541	23085	19507
542	23136	19472
543	23181	19431
544	23241	19403
545	23299	19373
546	23347	19335
547	23405	19305
548	23461	19273
549	23515	19240
550	23560	19199
551	23623	19172
552	23679	19140
553	23720	19096
554	23762	19052
555	23805	19009
556	23852	18970
557	23897	18929
558	23939	18886
559	23982	18843
560	24022	18798
561	24066	18756
562	24110	18714
563	24164	18680
564	24201	18633
565	24243	18589
566	24285	18546
567	24328	18503
568	24372	18461
569	24415	18418
570	24456	18374
571	24501	18333
572	24554	18297
573	24597	18255
574	24639	18212
575	24682	18169
576	24728	18128
577	24771	18086
578	24818	18046
579	24862	18004
580	24901	17957
581	24946	17917
582	24989	17874
583	25033	17832
584	25077	17789
585	25118	17745
586	25175	17712
587	25217	17669
588	25257	17624
589	25297	17579
590	25338	17535
591	25377	17489
592	25421	17447
593	25466	17406
594	25509	17363
595	25547	17317
596	25588	17273
597	25631	17230
598	25679	17190
599	25719	17146
600	25756	17099
601	25799	17056
602	25839	17011
603	25886	16971
604	25930	16929
605	25970	16884
606	26011	16840
607	26055	16798
608	26096	16754
609	26134	16709
610	26187	16672
611	26229	16629
612	26265	16582
613	26310	16540
614	26353	16497
615	26392	16452
616	26431	16407
617	26474	16364
618	26523	16325
619	26565	16281
620	26607	16238
621	26648	16194
622	26690	16151
623	26736	16110
624	26780	16068
625	26820	16023
626	26863	15980
627	26905	15937
628	26954	15898
629	26990	15851
