iter	Passed	Remaining
400	29031	43366
401	29093	43278
402	29166	43206
403	29240	43136
404	29311	43062
405	29386	42994
406	29459	42922
407	29529	42846
408	29586	42751
409	29655	42674
410	29728	42604
411	29797	42527
412	29868	42452
413	29929	42364
414	29990	42275
415	30056	42195
416	30130	42125
417	30207	42058
418	30280	41988
419	30345	41906
420	30415	41829
421	30488	41759
422	30565	41693
423	30640	41624
424	30719	41561
425	30797	41496
426	30869	41424
427	30952	41366
428	31033	41305
429	31107	41235
430	31178	41161
431	31250	41089
432	31317	41009
433	31381	40926
434	31453	40853
435	31535	40794
436	31618	40734
437	31683	40652
438	31755	40580
439	31816	40493
440	31890	40422
441	31959	40346
442	32031	40273
443	32100	40197
444	32169	40121
445	32236	40042
446	32309	39971
447	32377	39893
448	32442	39812
449	32506	39730
450	32582	39661
451	32651	39586
452	32729	39520
453	32803	39451
454	32891	39397
455	32965	39327
456	33042	39260
457	33129	39205
458	33209	39142
459	33280	39068
460	33348	38990
461	33465	38970
462	33586	38955
463	33665	38888
464	33749	38830
465	33821	38756
466	33897	38688
467	33973	38619
468	34079	38585
469	34175	38538
470	34262	38481
471	34331	38405
472	34403	38330
473	34475	38257
474	34543	38180
475	34611	38101
476	34681	38026
477	34754	37953
478	34816	37869
479	34880	37787
480	34954	37715
481	35026	37642
482	35090	37560
483	35155	37479
484	35233	37413
485	35304	37338
486	35370	37258
487	35433	37176
488	35510	37107
489	35585	37037
490	35662	36969
491	35733	36895
492	35811	36828
493	35886	36757
494	35964	36690
495	36027	36608
496	36106	36542
497	36179	36470
498	36261	36407
499	36360	36360
500	36436	36290
501	36510	36220
502	36602	36166
503	36670	36088
504	36753	36026
505	36821	35947
506	36909	35890
507	36983	35818
508	37052	35742
509	37123	35667
510	37203	35601
511	37278	35530
512	37354	35461
513	37430	35391
514	37489	35305
515	37555	35226
516	37627	35153
517	37705	35084
518	37778	35012
519	37843	34932
520	37911	34855
521	37985	34783
522	38059	34711
523	38133	34640
