iter	Passed	Remaining
0	40	40647
1	76	38357
2	116	38780
3	158	39401
4	194	38708
5	237	39369
6	285	40462
7	328	40720
8	362	39901
9	381	37766
10	417	37578
11	457	37693
12	499	37919
13	544	38328
14	586	38519
15	627	38593
16	665	38462
17	704	38443
18	748	38642
19	791	38789
20	831	38758
21	887	39436
22	932	39612
23	977	39762
24	1018	39705
25	1053	39474
26	1095	39483
27	1132	39311
28	1175	39366
29	1220	39470
30	1258	39337
31	1298	39291
32	1335	39126
33	1373	39029
34	1418	39119
35	1463	39195
36	1505	39195
37	1542	39061
38	1582	38994
39	1624	38983
40	1671	39102
41	1715	39121
42	1757	39108
43	1800	39122
44	1841	39088
45	1894	39287
46	1936	39269
47	1977	39227
48	2019	39185
49	2058	39119
50	2102	39131
51	2141	39049
52	2180	38954
53	2218	38857
54	2257	38795
55	2302	38807
56	2345	38805
57	2384	38730
58	2428	38730
59	2467	38654
60	2511	38667
61	2554	38642
62	2594	38590
63	2636	38559
64	2678	38536
65	2726	38590
66	2768	38549
67	2809	38511
68	2851	38468
69	2906	38614
70	2951	38624
71	2996	38625
72	3036	38558
73	3075	38490
74	3117	38449
75	3163	38465
76	3204	38410
77	3246	38377
78	3289	38351
79	3332	38318
80	3380	38351
81	3423	38329
82	3466	38294
83	3505	38222
84	3549	38204
85	3595	38211
86	3638	38181
87	3679	38133
88	3722	38103
89	3763	38052
90	3810	38062
91	3853	38036
92	3898	38017
93	3951	38081
94	3999	38098
95	4040	38046
96	4079	37973
97	4118	37908
98	4160	37863
99	4205	37847
100	4253	37864
101	4295	37814
102	4336	37764
103	4378	37718
104	4421	37684
105	4468	37683
106	4510	37642
107	4550	37582
108	4588	37506
109	4626	37436
110	4675	37447
111	4715	37383
112	4756	37333
113	4797	37287
114	4835	37213
115	4882	37210
116	4922	37148
117	5017	37503
118	5057	37439
119	5097	37380
120	5138	37327
121	5177	37259
122	5217	37203
123	5258	37150
124	5303	37122
125	5344	37072
126	5383	37005
127	5427	36977
128	5473	36960
129	5515	36913
130	5564	36910
131	5603	36848
132	5640	36771
133	5678	36699
134	5719	36645
135	5767	36639
136	5802	36552
137	5840	36479
138	5887	36467
139	5929	36423
140	5973	36393
141	6025	36409
142	6066	36353
143	6107	36304
144	6150	36268
145	6194	36231
146	6231	36160
147	6269	36092
148	6308	36030
149	6347	35966
150	6390	35929
151	6432	35885
152	6471	35828
153	6510	35765
154	6552	35721
155	6592	35664
156	6639	35650
157	6679	35596
158	6723	35561
159	6761	35499
160	6805	35462
161	6850	35437
162	6889	35375
163	6925	35305
164	6971	35278
165	7013	35237
166	7069	35264
167	7111	35220
168	7152	35169
169	7193	35119
170	7235	35079
171	7278	35037
172	7318	34984
173	7360	34938
174	7406	34916
175	7445	34857
176	7492	34835
177	7536	34801
178	7577	34752
179	7620	34716
180	7660	34660
181	7698	34601
182	7745	34578
183	7785	34526
184	7826	34480
185	7866	34428
186	7914	34408
187	7963	34395
188	8004	34346
189	8059	34358
190	8098	34303
191	8141	34263
192	8188	34238
193	8231	34200
194	8268	34133
195	8308	34081
196	8348	34029
197	8394	34000
198	8434	33951
199	8472	33890
200	8514	33844
201	8556	33800
202	8604	33780
203	8645	33736
204	8687	33690
205	8727	33637
206	8770	33599
207	8812	33554
208	8854	33512
209	8896	33469
210	8938	33422
211	8977	33369
212	9019	33325
213	9077	33341
214	9117	33290
215	9156	33235
216	9201	33201
217	9241	33151
218	9283	33106
219	9322	33054
220	9361	32997
221	9405	32960
222	9450	32929
223	9493	32886
224	9535	32843
225	9575	32793
226	9616	32745
227	9659	32706
228	9703	32670
229	9744	32624
230	9783	32569
231	9824	32521
232	9872	32499
233	9911	32446
234	9953	32401
235	9997	32363
236	10040	32324
237	10101	32341
238	10142	32294
239	10180	32239
240	10223	32197
241	10262	32143
242	10310	32119
243	10349	32065
244	10390	32018
245	10431	31973
