iter	RMSE
0	25506.70931
1	24778.57364
2	24063.05597
3	23376.50388
4	22711.78195
5	22059.27139
6	21431.1325
7	20823.23915
8	20231.00391
9	19657.35482
10	19100.74523
11	18563.18345
12	18041.17125
13	17536.30143
14	17049.12586
15	16574.55515
16	16114.99717
17	15669.10997
18	15235.35223
19	14817.12934
20	14412.40312
21	14021.48925
22	13637.62958
23	13270.51871
24	12912.53068
25	12570.21662
26	12238.23933
27	11914.46785
28	11602.05914
29	11295.75702
30	11004.61142
31	10722.17784
32	10446.45108
33	10178.93618
34	9918.08106
35	9666.830498
36	9424.646885
37	9189.745738
38	8964.206011
39	8744.092971
40	8531.571314
41	8329.801231
42	8135.967327
43	7947.493564
44	7762.489563
45	7584.226898
46	7417.053354
47	7252.241903
48	7092.344216
49	6936.018747
50	6786.768311
51	6640.766948
52	6497.294143
53	6361.427764
54	6231.125269
55	6108.394545
56	5986.116025
57	5868.959687
58	5756.319894
59	5648.302734
60	5542.87098
61	5441.979471
62	5346.00189
63	5252.760193
64	5162.406987
65	5078.822802
66	4992.199401
67	4913.143955
68	4840.857762
69	4762.626039
70	4689.89257
71	4622.045638
72	4555.271411
73	4492.519718
74	4432.731915
75	4375.659477
76	4316.750239
77	4259.047725
78	4202.859423
79	4152.972399
80	4102.382353
81	4053.605524
82	4004.549351
83	3959.992603
84	3919.078429
85	3882.133784
86	3844.754919
87	3809.375228
88	3774.027207
89	3738.359782
90	3702.27029
91	3670.632412
92	3641.313566
93	3614.132301
94	3586.689189
95	3560.776616
96	3533.399086
97	3507.504488
98	3481.725462
99	3455.92417
100	3435.281083
101	3413.807111
102	3392.718213
103	3369.075204
104	3350.952919
105	3331.515227
106	3312.290772
107	3294.53214
108	3278.67363
109	3263.875558
110	3246.210099
111	3232.197547
112	3216.657738
113	3200.833066
114	3186.765417
115	3173.858684
116	3160.444048
117	3148.719469
118	3135.329618
119	3123.497927
120	3112.954908
121	3101.876799
122	3091.319447
123	3079.913415
124	3069.701065
125	3059.900524
126	3049.754854
127	3040.34198
128	3031.591784
129	3020.679597
130	3010.83206
131	3003.897866
132	2993.981599
133	2984.459407
134	2977.694649
135	2969.254032
136	2961.662087
137	2953.369902
138	2947.65395
139	2940.820571
140	2933.751732
141	2926.584643
142	2917.060906
143	2909.879529
144	2901.845352
145	2895.487328
146	2887.701925
147	2881.666391
148	2875.230872
149	2870.443585
150	2862.835643
151	2856.311608
152	2850.509115
153	2845.670736
154	2838.651903
155	2832.543022
156	2826.583554
157	2821.020153
158	2815.375327
159	2811.221867
160	2806.144032
161	2799.646905
162	2794.544604
163	2788.073447
164	2782.385792
165	2777.752416
166	2773.499926
167	2767.919529
168	2762.849142
169	2758.128389
170	2751.628671
171	2746.925591
172	2742.037663
173	2737.806399
174	2733.10918
175	2729.795823
176	2726.074377
177	2722.103829
178	2717.453282
179	2713.241166
180	2709.403959
181	2703.878327
182	2698.763715
183	2693.375941
184	2688.649144
185	2683.364224
186	2679.071764
187	2673.541861
188	2668.364376
189	2664.757715
190	2661.250063
191	2657.688517
192	2654.081365
193	2649.314767
194	2646.297574
195	2643.09036
196	2639.699891
197	2636.991719
198	2633.755737
199	2630.886266
200	2626.340136
201	2621.038207
202	2616.983148
203	2612.185546
204	2609.148604
205	2605.336203
206	2600.684668
207	2596.291744
208	2593.144642
209	2589.273463
210	2585.965533
211	2582.768235
212	2578.134678
213	2574.073943
214	2569.483306
215	2566.399749
216	2562.895978
217	2558.957984
218	2555.401538
219	2552.700057
220	2548.094265
221	2545.417239
222	2543.113041
223	2540.044078
224	2537.2331
225	2533.760635
226	2531.193889
227	2528.840915
228	2524.573
229	2521.959241
230	2518.656203
231	2515.454163
232	2512.724421
233	2509.794134
234	2506.79291
235	2504.927847
236	2502.253017
237	2498.562363
238	2496.038427
239	2493.684953
240	2490.531701
241	2488.440353
242	2485.292402
243	2482.330653
244	2479.715425
245	2477.367095
246	2474.455949
247	2470.574915
248	2468.012974
249	2464.232403
250	2461.144304
251	2457.566956
252	2455.216551
253	2452.884729
254	2450.998206
255	2448.58297
256	2445.55865
257	2443.699043
258	2441.376924
259	2438.758654
260	2436.711919
261	2433.841587
262	2430.921316
263	2428.25228
264	2425.813503
265	2423.556637
266	2420.951368
267	2418.057516
268	2414.941591
269	2413.285027
270	2411.687112
271	2409.280306
272	2407.635694
273	2405.593713
274	2403.464006
275	2401.448402
276	2399.358855
277	2396.55725
278	2394.72143
279	2392.031193
280	2389.306681
281	2387.170564
282	2385.490412
283	2383.210111
284	2381.270679
285	2378.587787
286	2376.191745
287	2373.859772
288	2371.355353
289	2368.590626
290	2366.978362
291	2364.959965
292	2363.239941
293	2361.036753
294	2358.667042
295	2356.374856
296	2354.647738
297	2353.124949
298	2350.900256
299	2348.341252
300	2346.353425
301	2344.499066
302	2342.29116
303	2340.210025
304	2338.382657
305	2336.579877
306	2334.764812
307	2332.324577
308	2329.640132
309	2327.086569
310	2325.935791
311	2324.651258
312	2322.440387
313	2320.726642
314	2318.333404
315	2316.69357
316	2314.41813
317	2311.702231
318	2309.00942
319	2307.064765
320	2305.165354
321	2302.288223
322	2300.39293
323	2298.754043
324	2297.369316
325	2295.915822
326	2294.29729
327	2292.06152
328	2289.973169
329	2287.792808
330	2285.726007
331	2283.669051
332	2282.02367
333	2279.898758
334	2277.820462
335	2276.208648
336	2274.787883
337	2272.123367
338	2269.834618
339	2267.258936
340	2265.405189
341	2263.603768
342	2262.040257
343	2260.870009
344	2258.534502
345	2256.959942
346	2255.112503
347	2253.359039
348	2251.305158
349	2249.347599
350	2247.711485
351	2246.294867
352	2244.516329
353	2243.284542
354	2241.235735
355	2239.320183
356	2237.558359
357	2235.913421
358	2234.225871
359	2233.056426
360	2231.330955
361	2229.191588
362	2228.204395
363	2226.708682
364	2224.710274
365	2223.130667
366	2221.61352
367	2220.4212
368	2219.343146
369	2217.304304
370	2216.132346
371	2214.934156
372	2213.465774
373	2212.284649
374	2211.190464
375	2209.475295
376	2207.757397
377	2206.773027
378	2205.502595
379	2204.170243
380	2202.691934
381	2201.445648
382	2199.888586
383	2198.121377
384	2196.230776
385	2194.825753
386	2193.548633
387	2191.478844
388	2189.788672
389	2188.799372
390	2187.868662
391	2186.736954
392	2185.324803
393	2183.935666
394	2182.840369
395	2181.231931
396	2179.968726
397	2178.347376
398	2176.598265
399	2175.044076
400	2173.618346
401	2171.809251
402	2170.208245
403	2168.512602
404	2167.103491
405	2165.763304
406	2164.654632
407	2163.680399
408	2161.912108
409	2160.523183
410	2159.155862
411	2157.340196
412	2156.093593
413	2154.678701
414	2153.428787
415	2151.991793
416	2150.864853
417	2149.820571
418	2148.623119
419	2146.989232
420	2146.048627
421	2145.127881
422	2143.487924
423	2142.037176
424	2140.93334
425	2139.644831
426	2138.257505
427	2137.135411
428	2136.320113
429	2135.328836
430	2134.65439
431	2133.7638
432	2132.261474
433	2131.637875
434	2130.083237
435	2129.373041
436	2127.875056
437	2126.717055
438	2125.558099
439	2124.840847
440	2123.482522
441	2122.733347
442	2121.526364
443	2120.127252
444	2118.76799
445	2117.475077
446	2116.628702
447	2115.726437
448	2115.184745
449	2113.91529
450	2112.761553
451	2111.275753
452	2110.498658
453	2109.598652
454	2108.867853
455	2107.741051
456	2106.669093
457	2105.545665
458	2104.367372
459	2103.888436
460	2103.046937
461	2101.767249
462	2100.844483
463	2100.065114
464	2098.886982
465	2097.763166
466	2096.616009
467	2095.823143
468	2094.473974
469	2093.096099
470	2092.437202
471	2091.628636
472	2090.727556
473	2089.750462
474	2088.657376
475	2087.336049
476	2086.617962
477	2085.761034
478	2084.553901
479	2083.510624
480	2082.189659
481	2080.851719
482	2079.901639
483	2079.245163
484	2078.676502
485	2077.530443
486	2076.480292
487	2075.864591
488	2075.148613
489	2073.964256
490	2072.969145
491	2072.150484
492	2071.550932
493	2070.794284
494	2070.163287
495	2069.649025
496	2068.650154
497	2067.579971
498	2066.478495
499	2065.710092
500	2064.842442
501	2063.145649
502	2061.943918
503	2060.847837
504	2059.626431
505	2058.477335
506	2057.632918
507	2056.910171
508	2055.843392
509	2054.945539
510	2054.384472
511	2053.283732
512	2051.975361
513	2051.097106
514	2050.351647
515	2049.902521
516	2049.118998
517	2048.054744
518	2047.039151
519	2046.34052
520	2045.333058
521	2044.619208
522	2043.510887
523	2042.34959
524	2041.66128
525	2040.866295
526	2040.345012
527	2039.351388
528	2038.202483
529	2037.541055
530	2037.003473
531	2036.484378
532	2035.448907
533	2034.476658
534	2033.683939
535	2033.068948
536	2032.569871
537	2031.534353
538	2030.829472
539	2029.900646
540	2028.982112
541	2028.255565
542	2027.59464
543	2027.278294
544	2026.14193
545	2025.637302
546	2024.612283
547	2023.713629
548	2023.379693
549	2022.632275
550	2020.573564
551	2019.585141
552	2018.657094
553	2017.745781
554	2016.682017
555	2016.335632
556	2015.465219
557	2014.573609
558	2013.786712
559	2012.911131
560	2011.850375
561	2011.115081
562	2010.658305
563	2009.636238
564	2008.510642
565	2007.959374
566	2007.209229
567	2006.252051
568	2005.071844
569	2004.38062
570	2004.140535
571	2003.69378
572	2002.801163
573	2002.131497
574	2001.530162
575	2000.732325
576	2000.280883
577	1999.61745
578	1998.905034
579	1998.561194
580	1997.89092
581	1997.323165
582	1996.510634
583	1995.685721
584	1995.047183
585	1993.870109
586	1992.998578
587	1992.861389
588	1991.862735
589	1991.252686
590	1990.270103
591	1989.30795
592	1988.677078
593	1987.555845
594	1986.920528
595	1986.048085
596	1985.410313
597	1984.769499
598	1984.198718
599	1983.53608
600	1982.934714
601	1982.123316
602	1981.272171
603	1980.728524
604	1980.055769
605	1979.294422
606	1978.280129
607	1977.709694
608	1977.281406
609	1976.639942
610	1976.2331
611	1975.435765
612	1974.552189
613	1973.77026
614	1972.990854
615	1972.138877
616	1971.834351
617	1971.084825
618	1970.332101
619	1970.038557
620	1968.63073
621	1967.929898
622	1966.96864
623	1966.501806
624	1965.909059
625	1964.973849
626	1964.379298
627	1963.305648
628	1962.740812
629	1962.027256
630	1960.717479
631	1960.288041
632	1959.638334
633	1958.965095
634	1958.529568
635	1957.878195
636	1957.131399
637	1956.510829
638	1955.704717
639	1954.974948
640	1954.267543
641	1953.884655
642	1953.017867
643	1952.426769
644	1951.78157
645	1950.986704
646	1950.049541
647	1949.321795
648	1948.771577
649	1948.11539
650	1947.360658
651	1946.81244
652	1946.53267
653	1945.305004
654	1944.786676
655	1944.104492
656	1943.655695
657	1942.850944
658	1942.304104
659	1941.849383
660	1941.27533
661	1940.741965
662	1939.642812
663	1938.815421
664	1938.258494
665	1937.836062
666	1937.235692
667	1936.432021
668	1935.909895
669	1935.220028
670	1934.464282
671	1933.35892
672	1932.856657
673	1932.489667
674	1932.03933
675	1931.279145
676	1930.644264
677	1929.976954
678	1929.312425
679	1928.511622
680	1927.962201
681	1927.305975
682	1926.729865
683	1925.996872
684	1925.406409
685	1925.113075
686	1923.638972
687	1922.964709
688	1922.288628
689	1921.736405
690	1921.012036
691	1920.536307
692	1920.149666
693	1919.822922
694	1918.775841
695	1918.13585
696	1917.709074
697	1917.129716
698	1916.687719
699	1916.156964
700	1915.447576
701	1914.765163
702	1913.952864
703	1913.234865
704	1912.675436
705	1912.024988
706	1911.341665
707	1910.983289
708	1910.751348
709	1910.383553
710	1909.595527
711	1909.185218
712	1908.746003
713	1908.280408
714	1907.632567
715	1906.929629
716	1905.952067
717	1905.466545
718	1905.065716
719	1904.489277
720	1904.020326
721	1903.617023
722	1902.940519
723	1902.546046
724	1902.176409
725	1901.728099
726	1901.196163
727	1900.673933
728	1899.910376
729	1899.576116
730	1899.000376
731	1898.605345
732	1898.046051
733	1897.723794
734	1897.268156
735	1897.042695
736	1896.352333
737	1895.944299
738	1895.405481
739	1894.876517
740	1894.360146
741	1893.791606
742	1893.34835
743	1892.729727
744	1892.141324
745	1891.452454
746	1891.16229
747	1890.763892
748	1890.052782
749	1889.350819
750	1888.866402
751	1888.431053
752	1887.945562
753	1887.460963
754	1886.460258
755	1885.934484
756	1885.521602
757	1884.980242
758	1884.540095
759	1884.082206
760	1883.664024
761	1883.27498
762	1882.839785
763	1882.523786
764	1882.250415
765	1881.750013
766	1881.082805
767	1880.769161
768	1879.96477
769	1879.501572
770	1878.642496
771	1878.265766
772	1877.99829
773	1877.569476
774	1876.840396
775	1876.134535
776	1875.539678
777	1874.737219
778	1874.376792
779	1873.395752
780	1872.968804
781	1872.651839
782	1872.188206
783	1871.741365
784	1871.341018
785	1870.84621
786	1870.409665
787	1869.89272
788	1869.169173
789	1868.896931
790	1868.42122
791	1867.892335
792	1867.30742
793	1866.847077
794	1866.372098
795	1865.885233
796	1865.539085
797	1865.15465
798	1864.722497
799	1864.449261
800	1864.14129
801	1863.610658
802	1863.21369
803	1862.947282
804	1862.686535
805	1862.030269
806	1861.793426
807	1861.24707
808	1860.623982
809	1860.177893
810	1859.837717
811	1859.381567
812	1859.059172
813	1858.681354
814	1858.096711
815	1857.660163
816	1857.206994
817	1856.685271
818	1856.318728
819	1856.07547
820	1855.373059
821	1854.934133
822	1854.147782
823	1853.827653
824	1853.334904
825	1853.002445
826	1852.503359
827	1852.186971
828	1851.615121
829	1851.119504
830	1850.864362
831	1850.392851
832	1849.970894
833	1849.180631
834	1848.778462
835	1848.054814
836	1847.583227
837	1847.224145
838	1846.656302
839	1846.023983
840	1845.556602
841	1845.340247
842	1845.002444
843	1844.720031
844	1844.054924
845	1843.770284
846	1843.323291
847	1842.920772
848	1842.674956
849	1842.091596
850	1841.790342
851	1841.491288
852	1840.772386
853	1840.257915
854	1839.957012
855	1839.541449
856	1839.022548
857	1838.662546
858	1838.056781
859	1837.670566
860	1837.407087
861	1836.998923
862	1836.555695
863	1836.134844
864	1835.914575
865	1835.260538
866	1834.726759
867	1834.457686
868	1833.973584
869	1833.583149
870	1833.068351
871	1832.745183
872	1832.314057
873	1831.830101
874	1831.302559
875	1830.632293
876	1830.285603
877	1830.049728
878	1829.923485
879	1829.389994
880	1829.029297
881	1828.670542
882	1828.394145
883	1827.82771
884	1827.267708
885	1826.882462
886	1826.245283
887	1825.813556
888	1825.418466
889	1825.013251
890	1824.547026
891	1824.11273
892	1823.482633
893	1823.070156
894	1822.459877
895	1822.140779
896	1821.928634
897	1821.330378
898	1820.896957
899	1820.632403
900	1820.194037
901	1819.791197
902	1819.390739
903	1819.142867
904	1818.75401
905	1818.380617
906	1817.677858
907	1817.398009
908	1816.917798
909	1816.58002
910	1815.867999
911	1815.484074
912	1815.282983
913	1814.767307
914	1814.332765
915	1813.9703
916	1813.561381
917	1812.957434
918	1812.36424
919	1811.957846
920	1811.440033
921	1810.987122
922	1810.630711
923	1810.425843
924	1809.933394
925	1809.275535
926	1809.092082
927	1808.461263
928	1808.041846
929	1807.481172
930	1806.927782
931	1806.35143
932	1805.966462
933	1805.580251
934	1805.133214
935	1804.87361
936	1804.539243
