iter	Passed	Remaining
0	43	43516
1	101	50623
2	199	66446
3	282	70372
4	323	64388
5	376	62335
6	429	60992
7	495	61443
8	556	61289
9	605	59991
10	659	59312
11	709	58414
12	758	57563
13	802	56521
14	847	55655
15	889	54730
16	932	53913
17	977	53349
18	1019	52632
19	1061	52002
20	1100	51319
21	1152	51222
22	1201	51019
23	1239	50391
24	1279	49894
25	1316	49327
26	1358	48939
27	1405	48784
28	1450	48576
29	1492	48253
30	1531	47877
31	1574	47629
32	1619	47449
33	1661	47215
34	1706	47047
35	1750	46861
36	1797	46780
37	1841	46628
38	1883	46401
39	1922	46145
40	1960	45861
41	2000	45629
42	2046	45554
43	2095	45522
44	2137	45353
45	2180	45212
46	2220	45022
47	2262	44882
48	2310	44838
49	2349	44648
50	2394	44560
51	2432	44341
52	2472	44181
53	2517	44102
54	2558	43963
55	2601	43853
56	2647	43806
57	2687	43648
58	2735	43621
59	2779	43552
60	2822	43445
61	2861	43291
62	2900	43135
63	2949	43136
64	2991	43032
65	3031	42906
66	3071	42768
67	3114	42682
68	3161	42660
69	3204	42579
70	3247	42488
71	3288	42386
72	3333	42330
73	3378	42281
74	3421	42198
75	3461	42087
76	3509	42070
77	3560	42086
78	3608	42067
79	3648	41953
80	3691	41883
81	3731	41778
82	3777	41733
83	3821	41673
84	3867	41631
85	3910	41565
86	3952	41480
87	3993	41391
88	4042	41377
89	4086	41314
90	4129	41246
91	4173	41193
92	4218	41144
93	4260	41060
94	4300	40965
95	4342	40894
96	4383	40810
97	4426	40738
98	4476	40738
99	4518	40669
100	4561	40598
101	4604	40541
102	4655	40539
103	4701	40506
104	4745	40446
105	4788	40382
106	4828	40296
107	4871	40238
108	4918	40206
109	4957	40114
110	5000	40051
111	5041	39973
112	5087	39934
113	5135	39912
114	5177	39843
115	5218	39766
116	5259	39692
117	5300	39619
118	5348	39600
119	5393	39549
120	5435	39487
121	5478	39425
122	5521	39366
123	5568	39336
124	5610	39273
125	5654	39222
126	5698	39172
127	5742	39117
128	5790	39094
129	5833	39038
130	5877	38985
131	5915	38901
132	5956	38828
133	6006	38814
134	6047	38751
135	6117	38863
136	6166	38844
137	6210	38794
138	6253	38735
139	6295	38674
140	6344	38652
141	6392	38626
142	6439	38592
143	6481	38527
144	6523	38463
145	6568	38419
146	6611	38366
147	6659	38337
148	6701	38275
149	6740	38196
150	6780	38124
151	6830	38105
152	6881	38096
153	6922	38027
154	6963	37961
155	7005	37903
156	7045	37831
157	7093	37800
158	7137	37754
159	7178	37686
160	7219	37623
161	7266	37589
162	7312	37550
163	7356	37501
164	7399	37447
165	7440	37383
166	7483	37329
167	7532	37302
168	7576	37256
169	7618	37193
170	7660	37138
171	7704	37088
172	7753	37064
173	7791	36989
174	7833	36927
175	7874	36869
176	7918	36820
177	7966	36789
178	8009	36734
179	8048	36664
180	8088	36599
181	8131	36546
182	8176	36504
183	8217	36442
184	8257	36376
185	8298	36317
186	8339	36255
187	8383	36210
188	8427	36162
189	8470	36110
190	8514	36065
191	8553	35994
192	8601	35963
193	8640	35899
194	8684	35850
195	8728	35804
196	8770	35749
197	8840	35807
198	8883	35758
199	8926	35704
200	8999	35774
201	9056	35777
202	9099	35725
203	9146	35690
204	9189	35638
205	9238	35607
206	9281	35555
207	9326	35512
208	9371	35467
209	9426	35462
210	9469	35409
211	9515	35368
212	9562	35330
213	9604	35276
214	9651	35239
215	9703	35219
216	9773	35265
217	9826	35247
218	9873	35210
219	9924	35187
220	9997	35238
221	10082	35333
222	10158	35394
223	10205	35353
224	10251	35312
225	10309	35307
226	10367	35304
227	10416	35268
228	10471	35254
229	10517	35210
230	10565	35172
231	10608	35118
232	10667	35116
233	10710	35060
234	10754	35010
235	10795	34949
236	10842	34905
237	10889	34866
238	10932	34811
239	10977	34761
240	11019	34704
241	11058	34636
242	11106	34597
243	11149	34543
244	11191	34488
245	11231	34426
246	11279	34385
247	11320	34326
248	11364	34275
249	11407	34223
250	11448	34163
251	11492	34111
252	11536	34062
253	11578	34004
254	11616	33939
255	11659	33885
256	11703	33834
257	11750	33793
258	11791	33734
259	11834	33681
260	11882	33644
261	11930	33606
262	11980	33572
263	12029	33538
264	12071	33480
265	12112	33422
266	12154	33368
267	12204	33334
268	12247	33281
269	12289	33226
270	12332	33174
271	12383	33143
272	12426	33090
273	12469	33038
274	12515	32994
275	12553	32931
276	12598	32883
277	12646	32844
278	12686	32784
279	12731	32738
280	12773	32684
281	12817	32633
282	12862	32589
283	12905	32536
284	12945	32477
285	12985	32419
286	13027	32364
287	13071	32316
288	13116	32268
289	13159	32218
290	13199	32159
291	13244	32112
292	13286	32060
293	13329	32009
294	13372	31956
295	13416	31909
296	13459	31857
297	13526	31864
298	13568	31810
299	13610	31757
300	13648	31696
301	13699	31662
302	13756	31643
303	13796	31586
304	13838	31533
305	13881	31483
306	13928	31441
307	13972	31391
308	14012	31334
309	14056	31286
310	14094	31224
311	14133	31165
312	14179	31123
313	14221	31070
314	14266	31024
315	14306	30966
316	14352	30923
317	14396	30876
318	14440	30827
319	14482	30775
320	14521	30717
321	14566	30670
322	14610	30623
323	14653	30572
324	14693	30518
325	14733	30460
326	14775	30408
327	14821	30365
328	14859	30306
329	14904	30261
330	14950	30217
331	14995	30171
332	15039	30124
333	15083	30076
334	15125	30025
335	15170	29979
336	15214	29932
337	15260	29887
338	15303	29839
339	15361	29820
340	15402	29765
341	15444	29715
342	15491	29672
343	15534	29623
344	15576	29572
345	15617	29518
